Original,Furigana,Level
順番,じゅんばん,N3
準備,じゅんび,N3
使用,しよう,N3
小,しょう,N3
章,しょう,N3
賞,しょう,N3
上,じょう,N3
障害,しょうがい,N3
奨学金,しょうがくきん,N3
乗客,じょうきゃく,N3
上京,じょうきょう,N3
状況,じょうきょう,N3
条件,じょうけん,N3
正午,しょうご,N3
正直,しょうじき,N3
常識,じょうしき,N3
少女,しょうじょ,N3
症状,しょうじょう,N3
生じる,しょうじる,N3
招待,しょうたい,N3
状態,じょうたい,N3
上達,じょうたつ,N3
冗談,じょうだん,N3
承知,しょうち,N3
上等,じょうとう,N3
衝突,しょうとつ,N3
商人,しょうにん,N3
承認,しょうにん,N3
少年,しょうねん,N3
商売,しょうばい,N3
消費,しょうひ,N3
商品,しょうひん,N3
消防,しょうぼう,N3
情報,じょうほう,N3
証明,しょうめい,N3
女王,じょおう,N3
職,しょく,N3
職業,しょくぎょう,N3
食事,しょくじ,N3
食卓,しょくたく,N3
食品,しょくひん,N3
植物,しょくぶつ,N3
食物,しょくもつ,N3
食欲,しょくよく,N3
食料,しょくりょう,N3
食糧,しょくりょう,N3
書斎,しょさい,N3
女子,じょし,N3
徐々,じょじょ,N3
署名,しょめい,N3
書物,しょもつ,N3
女優,じょゆう,N3
処理,しょり,N3
書類,しょるい,N3
知らせ,しらせ,N3
尻,しり,N3
印,しるし,N3
城,しろ,N3
進学,しんがく,N3
神経,しんけい,N3
真剣,しんけん,N3
信仰,しんこう,N3
信号,しんごう,N3
人工,じんこう,N3
深刻,しんこく,N3
診察,しんさつ,N3
人種,じんしゅ,N3
信じる,しんじる,N3
人生,じんせい,N3
親戚,しんせき,N3
新鮮,しんせん,N3
新鮮,しんせん,N3
心臓,しんぞう,N3
慎重,しんちょう,N3
身長,しんちょう,N3
心配,しんぱい,N3
審判,しんぱん,N3
人物,じんぶつ,N3
進歩,しんぽ,N3
親友,しんゆう,N3
信用,しんよう,N3
信頼,しんらい,N3
心理,しんり,N3
人類,じんるい,N3
州,す,N3
巣,す,N3
図,ず,N3
スープ,スープ,N3
水準,すいじゅん,N3
推薦,すいせん,N3
スイッチ,スイッチ,N3
随分,ずいぶん,N3
睡眠,すいみん,N3
数,すう,N3
数字,すうじ,N3
末,すえ,N3
姿,すがた,N3
スキー,スキー,N3
空く,すく,N3
救う,すくう,N3
優れる,すぐれる,N3
スケート,スケート,N3
少しも,すこしも,N3
過ごす,すごす,N3
筋,すじ,N3
勧める,すすめる,N3
進める,すすめる,N3
スター,スター,N3
スタイル,スタイル,N3
スタンド,スタンド,N3
頭痛,ずつう,N3
ずっと,ずっと,N3
素敵,すてき,N3
既に,すでに,N3
即ち,すなわち,N3
素晴らしい,すばらしい,N3
スピーチ,スピーチ,N3
全て,すべて,N3
済ませる,すませる,N3
済みません,すみません,N3
鋭い,するどい,N3
性,せい,N3
所為,せい,N3
正,せい,N3
背,せい,N3
税,ぜい,N3
性格,せいかく,N3
正確,せいかく,N3
世紀,せいき,N3
請求,せいきゅう,N3
税金,ぜいきん,N3
清潔,せいけつ,N3
制限,せいげん,N3
成功,せいこう,N3
正式,せいしき,N3
精神,せいしん,N3
成人,せいじん,N3
精々,せいぜい,N3
成績,せいせき,N3
製造,せいぞう,N3
贅沢,ぜいたく,N3
成長,せいちょう,N3
制度,せいど,N3
制度,せいど,N3
青年,せいねん,N3
製品,せいひん,N3
政府,せいふ,N3
生物,せいぶつ,N3
生命,せいめい,N3
整理,せいり,N3
咳,せき,N3
石炭,せきたん,N3
責任,せきにん,N3
石油,せきゆ,N3
世間,せけん,N3
説,せつ,N3
積極的,せっきょくてき,N3
設計,せっけい,N3
絶対,ぜったい,N3
セット,セット,N3
設備,せつび,N3
節約,せつやく,N3
是非,ぜひ,N3
責める,せめる,N3
世話,せわ,N3
善,ぜん,N3
全員,ぜんいん,N3
全国,ぜんこく,N3
先日,せんじつ,N3
前者,ぜんしゃ,N3
選手,せんしゅ,N3
前進,ぜんしん,N3
前進,ぜんしん,N3
全然,ぜんぜん,N3
全然,ぜんぜん,N3
センター,センター,N3
全体,ぜんたい,N3
選択,せんたく,N3
象,ぞう,N3
騒音,そうおん,N3
増加,ぞうか,N3
操作,そうさ,N3
想像,そうぞう,N3
相続,そうぞく,N3
相談,そうだん,N3
装置,そうち,N3
相当,そうとう,N3
速度,そくど,N3
底,そこ,N3
其処で,そこで,N3
組織,そしき,N3
注ぐ,そそぐ,N3
注ぐ,そそぐ,N3
育つ,そだつ,N3
そっくり,そっくり,N3
率土,そっと,N3
袖,そで,N3
備える,そなえる,N3
その内,そのうち,N3
其の儘,そのまま,N3
ソファ,ソファ,N3
粗末,そまつ,N3
夫れ夫れ,それぞれ,N3
其れでも,それでも,N3
其れ共,それとも,N3
損,そん,N3
損害,そんがい,N3
尊敬,そんけい,N3
存在,そんざい,N3
尊重,そんちょう,N3
尊重,そんちょう,N3
他,た,N3
田,た,N3
台,だい,N3
題,だい,N3
体育,たいいく,N3
